#Position (bp)	mapping quality
4.9380522E7	42.0
4.9541633E7	41.67341687660142
4.9702744E7	41.99396092653828
4.9863855E7	41.98383185125303
5.0024966E7	41.52116291082844
5.0186077E7	42.0
5.0347188E7	41.97710604558969
5.0508299E7	42.0
5.066941E7	41.89992956517403
5.0830521E7	41.998101590724914
5.0991632E7	41.99894023884277
5.1152743E7	0.0
5.1313854E7	42.0
5.1474965E7	42.0
5.1636076E7	41.9884334758764
5.1797187E7	42.0
5.1958298E7	0.0
5.2119409E7	41.98833438552601
5.228052E7	0.0
5.2441631E7	0.0
5.2602742E7	0.0
5.2763853E7	0.0
5.2924964E7	42.0
5.3086075E7	0.0
5.3247186E7	42.0
5.3408297E7	42.0
5.3569408E7	41.999772662073
5.3730519E7	0.0
5.389163E7	41.83322440634793
5.4052741E7	41.99833554974047
5.4213852E7	41.99821613719644
5.4374963E7	0.0
5.4536074E7	42.0
5.4697185E7	41.71631971036692
5.4858296E7	0.0
5.5019407E7	0.0
5.5180518E7	0.0
5.5341629E7	0.0
5.550274E7	0.0
5.5663851E7	0.0
5.5824962E7	0.0
5.5986073E7	42.0
5.6147184E7	0.0
5.6308295E7	42.0
5.6469406E7	40.19364010043412
5.6630517E7	41.999622753361535
5.6791628E7	0.0
5.6952739E7	0.0
5.711385E7	42.0
5.7274961E7	41.99164916075625
5.7436072E7	41.97278853873379
5.7597183E7	41.998520093768846
5.7758294E7	42.0
5.7919405E7	0.0
5.8080516E7	42.0
5.8241627E7	42.0
5.8402738E7	41.9931638459833
5.8563849E7	42.0
5.872496E7	41.942321289421216
5.8886071E7	42.0
5.9047182E7	41.99298090694694
5.9208293E7	42.0
5.9369404E7	42.0
5.9530515E7	42.0
5.9691626E7	42.0
5.9852737E7	42.0
6.0013848E7	41.99130460287485
6.0174959E7	0.0
6.033607E7	0.0
6.0497181E7	0.0
6.0658292E7	0.0
6.0819403E7	0.0
6.0980514E7	0.0
6.1141625E7	0.0
6.1302736E7	41.89588647386384
6.1463847E7	42.0
6.1624958E7	42.0
6.1786069E7	42.0
6.194718E7	41.848843128643296
6.2108291E7	41.57935939087428
6.2269402E7	41.86995756253128
6.2430513E7	41.957999996689395
6.2591624E7	42.0
6.2752735E7	41.04504990876733
6.2913846E7	41.87654537027403
6.3074957E7	42.0
6.3236068E7	41.83883124516706
6.3397179E7	41.66239746396473
6.355829E7	41.64641795157582
6.3719401E7	41.695969482936604
6.3880512E7	40.72030723381452
6.4041623E7	41.454991154372316
6.4202734E7	41.84873876764332
6.43637285E7	0.0
